,2 cluster(s),3 cluster(s),4 cluster(s),5 cluster(s),6 cluster(s),7 cluster(s),8 cluster(s),9 cluster(s),10 cluster(s)
Labroche_dropout_False,0.9892177589852007,1.0,1.0,0.9980380082928049,0.9722579577904235,0.9088726294703227,0.8312768667165045,0.78641705196506,0.7679665479112557
Labroche_Age_Penalty_dropout_False,0.9639855514855515,1.0,0.9981877277651925,0.9902297534844662,0.9603163213121272,0.887865466789844,0.8295572676661394,0.8049291168503514,0.8152009885307103
Labroche_Carvalho_dropout_False,0.9675475687103594,1.0,1.0,0.9970611517984314,0.9494078334454988,0.8756283126578032,0.8304110656315983,0.837592868348176,0.8456161932825971
Labroche_Carvalho_Age_Penalty_dropout_False,0.9432547350833881,1.0,1.0,0.993505885107546,0.9438166832890369,0.8548886521887938,0.8106009237778519,0.8250315447433281,0.8366102691160131
Labroche_dropout_True,1.0,1.0,1.0,0.9982968269196629,0.9679435574926929,0.9028374038674378,0.7876397423277521,0.7783528135041407,0.783615634314874
Labroche_Age_Penalty_dropout_True,1.0,1.0,0.9950504473634114,0.9821317325429677,0.9541216398297552,0.896815330185813,0.8080871551851286,0.8068717157114662,0.824584900102089
Labroche_Carvalho_dropout_True,0.9827968994226293,1.0,1.0,0.9952657978365824,0.9507109327778563,0.8861325226017224,0.8386079436648796,0.8288105409394954,0.8351014830224877
Labroche_Carvalho_Age_Penalty_dropout_True,0.9964847363552266,1.0,0.9981756057346004,0.9874452783229486,0.9238392096450856,0.8555197065970168,0.8307488174344091,0.8115653605135646,0.8130995436911077
