,2 cluster(s),3 cluster(s),4 cluster(s),5 cluster(s),6 cluster(s),7 cluster(s),8 cluster(s),9 cluster(s),10 cluster(s)
Labroche_dropout_False,0.9745554078855768,1.0,1.0,0.9947512261383386,0.9185413116685288,0.7397393604660081,0.5474926874956327,0.4413807455630825,0.40701544346961827
Labroche_Age_Penalty_dropout_False,0.9344585894557124,1.0,0.9955496620638797,0.9705650738455056,0.8711861957238337,0.6599999736269686,0.4633744204024324,0.3268449949908436,0.33801297754243664
Labroche_Carvalho_dropout_False,0.954327833378415,1.0,1.0,0.9917811300894235,0.855371033540191,0.6083931624820552,0.43316935657367495,0.33084811963645666,0.3598729148255826
Labroche_Carvalho_Age_Penalty_dropout_False,0.8875846245268306,1.0,1.0,0.9801499021366787,0.8180527850494095,0.4975064995427766,0.3355510061708673,0.2723974236220643,0.29703884775089595
Labroche_dropout_True,1.0,1.0,1.0,0.9955084155679504,0.9075684924217577,0.7376711089732935,0.48028894553199863,0.4216178695347549,0.4147402498737205
Labroche_Age_Penalty_dropout_True,1.0,1.0,0.9892336056424362,0.9478094780227904,0.8523142623746448,0.6860639218771639,0.38673221519167134,0.3121681289651952,0.33377119937351174
Labroche_Carvalho_dropout_True,0.9652403729480123,1.0,1.0,0.9874355853230613,0.8351407904507118,0.6479943734624205,0.41434087041109785,0.32106342310592717,0.3106487524506966
Labroche_Carvalho_Age_Penalty_dropout_True,0.991585067068724,1.0,0.9956274735680998,0.9665675729409402,0.7478125771651853,0.541201884869439,0.3193628247824344,0.2924437645888339,0.2558508142073214
